Original Title,Title
The Godfather (1972),Godfather
The Shawshank Redemption (1994),Shawshank Redemption
Schindler's List (1993),Schindler's List
Raging Bull (1980),Raging Bull
Casablanca (1942),Casablanca
Citizen Kane (1941),Citizen Kane
Gone with the Wind (1939),Gone with  Wind
One Flew Over the Cuckoo's Nest (1975),One Flew Over  Cuckoo's Nest
Vertigo (1958),Vertigo
Psycho (1960),Psycho
The Godfather: Part II (1974),Godfather Part II
On the Waterfront (1954),On the Waterfront
Sunset Blvd. (1950),Sunset Blvd
Forrest Gump (1994),Forrest Gump
12 Angry Men (1957),12 Angry Men
Star Wars: Episode IV - A New Hope�(1977),Star Wars
2001: A Space Odyssey (1968),2001 A Space Odyssey
Chinatown (1974),Chinatown
Singin' in the Rain (1952),Singin' in the Rain
It's a Wonderful Life (1946),It's a Wonderful Life
Some Like It Hot (1959),Some Like It Hot
Ben-Hur (1959),Ben-Hur
Apocalypse Now (1979),Apocalypse Now
Amadeus (1984),Amadeus
The Lord of the Rings: The Return of the King (2003),Lord of the Rings The Return of the King
Gladiator (2000),Gladiator
Titanic (1997),Titanic
From Here to Eternity (1953),From Here to Eternity
Saving Private Ryan (1998),Saving Private Ryan
Unforgiven (1992),Unforgiven
Rocky (1976),Rocky
A Streetcar Named Desire (1951),A Streetcar Named Desire
To Kill a Mockingbird (1962),To Kill a Mockingbird
An American in Paris (1951),An American in Paris
The Best Years of Our Lives (1946), Best Years of Our Lives
A Clockwork Orange (1971),A Clockwork Orange
Doctor Zhivago (1965),Doctor Zhivago
Jaws (1975),Jaws
Patton (1970),Patton
Platoon (1986),Platoon
Braveheart (1995),Braveheart
Dances with Wolves (1990),Dances with Wolves
Jurassic Park (1993),Jurassic Park
Exorcist (1973), Exorcist
The Pianist (2002), Pianist
Goodfellas (1990),Goodfellas
The Deer Hunter (1978), Deer Hunter
All Quiet on the Western Front (1930),All Quiet on  the Western Front
Bonnie and Clyde (1967),Bonnie and Clyde
The French Connection (1971), French Connection
City Lights (1931),City Lights
It Happened One Night (1934),It Happened One Night
A Place in the Sun (1951),A Place in the  Sun
Midnight Cowboy (1969),Midnight Cowboy
Mr. Smith Goes to Washington (1939),Mr. Smith Goes to Washington
Rain Man (1988),Rain Man
Annie Hall (1977),Annie Hall
Fargo (2014- ),Fargo
Giant (1956),Giant
Shane (1953),Shane
The Grapes of Wrath (1940), Grapes of Wrath
The Green Mile (1999), Green Mile
Teesaree Prakaar Kee Muthabhed (1977),Close Encounters of the Third Kind
Nashville (2012-2018),Nashville
Network (1976),Network
The Graduate (1967), Graduate
American Graffiti (1973),American Graffiti
Pulp Fiction�(1994),Pulp Fiction
Terms of Endearment (1983),Terms of Endearment
Good Will Hunting (1997),Good Will Hunting
The African Queen (1951), African Queen
Stagecoach (1939),Stagecoach
Double Indemnity (1944),Double Indemnity
Wuthering Heights (2009-2009),Wuring Heights
Taxi Driver (1976),Taxi Driver
Rear Window (1954),Rear Window
The Third Man (1949), Third Man
Rebel Without a Cause (1955),Rebel Without a Cause
North by Northwest (1959),North by Northwest
Yankee Doodle Dandy (1942),Yankee Doodle Dandy
